age,indus,indus_yard_owner,indus_yard_manager,indus_ft_groom,indus_pt_groom,indus_pt_ride_train,indus_ft_ride_train,indus_instructor,indus_indus_prof,indus_lecturer,indus_committee,indus_retail,blank,indus_open,prof_farrier,prof_edt,prof_physio,prof_alt_therapy,prof_saddler,prof_nutritionist,prof_eq_vet,prof_eq_vn,prof_vet,prof_vn,prof_open,yrs,org,org_bhs_scot,org_bhs,org_pc,org_breed_assoc,org_bs,org_bs_duplicate,org_be,org_bd,org_bsha,org_serc,org_rda,org_bds,org_rc,org_open,qual,qual_bhs1_2,qual_bhs3_4,qual_bhs_prof,qual_pc_a,qual_pc_bc,qual_pc_de,qual_nc_horse,qual_hnc_eq,qual_hnd_eq,qual_svq_3,qual_svq_1_2,qual_ma,qual_dipwcf,qual_ntq_sadd,qual_ug_eq,qual_pg_eq,qual_vn_qual,qual_vet_qual,qual_open,conf_pastureman,conf_herdman,conf_turnoutroutine,conf_typepf,conf_amountpf,conf_typef,conf_amountf,conf_rug,bcs_monitor,bcs_how,bcs_how_open,bcs_by_prof,wgt_monitor,wgt_how,wgt_summer,wgt_autumn,wgt_winter,wgt_spring,pres_forage_spring_sum,pres_forage_aut_wint,pres_forage_choice,pres_forage_lam,pres_forage_ems,pres_forage_weight,pres_forage_colic,pres_forage_egus,pres_forage_resp,pres_forage_yard_availability,pres_forage_region_availability,pres_forage_cost,pres_forage_open,pres_forage_feed,pres_forage_prefer_other,pres_forage_pref_same_fed,pres_forage_analysis,pres_forage_analysis_aware,feed_bal,feed_bal_reason_forage,feed_bal_reason_boost,feed_bal_reason_conc,feed_bal_reason_replace,feed_bal_reason_cal,feed_bal_reason_energy,feed_bal_reason_munch,feed_bal_reason_open,exercise_imp,conf_rec_lam,conf_rec_obesity,conf_rec_ems,conf_rec_colic,conf_rec_ppid,conf_rec_loc
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Monthly,Taking measurements and using an online body condition calculator,Weight tape ,Yes,Monthly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,Yes,Yes,Yes,No,No,No,No,No,No,Make sure all vitamins etc ,Relieving boredom / providing stimulation,5,5,3,5,5,5
Under 18,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Neutral,Fairly confident,Very confident,Daily,Body condition scoring using a 1-5 scale system,NA,No,Occasionally,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,5,5,2,5,3,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Neutral,A little,A little,A little,Neutral,Neutral,A little,Weekly,Taking measurements and using an online body condition calculator,NA,No,Weekly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Soaked hay,NA,Yes,Don't know,No,No,No,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,2,3,1,3,1,3
18-25,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,BRC,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Neutral,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Monthly,Estimation through visual assessment and feeling the horse's body,NA,Yes,Monthly,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,All of the above ,5,5,3,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Highland Pony Society ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Monthly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,3,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Monthly,Body condition scoring using a 1-5 scale system,NA,Yes,Monthly,Tape measure,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Managing weight,4,4,2,3,3,4
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Body condition scoring using a 1-5 scale system,NA,Yes,Daily,Visual assessment,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Aim to encourage weight loss,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,5,5,3,5,5,5
Under 18,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Help out at a professional backers. ,No,No,No,No,No,No,No,No,No,No,No,Oct-19,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,LANTRA Equine Behaviour Course,Very confident,Fairly confident,Very confident,Neutral,Fairly confident,Not confident at all,Neutral,Fairly confident,Occasionally,Estimation through visual assessment and feeling the horse's body,NA,No,Occasionally,Other,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight gain,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Soaked hay,NA,No,No,Yes,Yes,No,No,No,No,No,No,No,Due to being on box rest and licking mud I got her a mineral lick to take as she wants,Managing weight,4,4,1,2,3,2
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Very confident,A little,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,NA,No,Monthly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Hay,NA,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,5,5,5,5,5,5
18-25,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Part time groom/yard hand and industry receptionist,No,No,No,No,No,No,No,No,No,No,No,01-Mar,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Very confident,Very confident,Very confident,Weekly,Taking measurements and using an online body condition calculator,NA,Yes,Weekly,Tape measure,Aim to maintain weight,Aim to encourage weight gain,Aim to maintain weight,Aim to encourage weight loss,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Mixture of hay and haylage,NA,Yes,Don't know,Yes,Yes,Yes,No,No,No,No,No,No,No,Training & development,5,4,2,4,2,4
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,NA,Yes,Occasionally,Weighbridge,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Training & development,4,5,4,5,5,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Daily,Visual assessment,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,Yes,Yes,Yes,No,No,No,No,No,No,No,Not applicable,5,5,3,5,3,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,North East Scotland TREC,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Fairly confident,Very confident,Very confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,No,Monthly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Relieving boredom / providing stimulation,4,4,1,4,2,3
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Estimation through visual assessment only,NA,No,Monthly,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Soaked hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,3,5,3,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Eriskay Pony Society,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Occasionally,Body condition scoring using a 1-5 scale system,NA,No,Occasionally,Tape measure,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Steamed hay,NA,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Training & development,3,4,2,5,4,4
Under 18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Oct-19,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Very confident,Fairly confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Never,NA,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,All of the above,4,4,3,4,2,4
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,World Horse Welfare ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Very confident,Very confident,Fairly confident,Fairly confident,Very confident,Very confident,Weekly,Estimation through visual assessment and feeling the horse's body,Weigh tape too and 1-5 score. ,No,Monthly,Tape measure,Aim to maintain weight,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Maintaining fitness for their discipline,4,5,2,5,4,5
26-40,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Neutral,Fairly confident,Fairly confident,Fairly confident,Neutral,Neutral,Fairly confident,Weekly,"Measurement of heart-girth, belly-girth and neck",NA,No,Weekly,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Haylage,NA,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Enjoyment / hobby,4,4,3,5,3,4
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,World Horse Welfare,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Occasionally,Tape measure,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,Yes,No,No,No,No,No,No,No,No,No,"Health, mental and physical wellbeing and bonding",4,4,3,5,4,5
Under 18,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,04-Sep,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Fairly confident,Very confident,Neutral,Fairly confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Daily,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to encourage weight loss,Aim to maintain weight,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Hay,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Enjoyment / hobby,5,5,2,5,1,3
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Fairly confident,Daily,Estimation through visual assessment and feeling the horse's body,NA,Yes,Daily,Visual assessment,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Hay,NA,Yes,Don't know,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Relieving boredom / providing stimulation,5,5,5,4,3,5
Over 60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,?30,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Exmoor Pony Society,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Very confident,Weekly,Body condition scoring using a 1-9 scale system,Feel of ribs,No,Occasionally,Estimation through calculation,Aim to maintain weight,Aim to encourage weight gain,Aim to encourage weight loss,Aim to maintain weight,No,No,No,No,No,No,No,No,No,No,No,No,No,None- my horse does not receive additional forage,NA,Yes,No,NA,Yes,No,No,No,No,No,No,No,We are in a mineral deficient area which causes white muscle disease and other problems,Maintaining fitness for their discipline,4,5,2,4,2,5
41-60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,20-29,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,A little,A little,A little,A little,A little,Neutral,Neutral,A little,Daily,"Measurement of heart-girth, belly-girth and neck",NA,Yes,Weekly,Visual assessment,Aim to encourage weight loss,Aim to encourage weight loss,Aim to maintain weight,Aim to maintain weight,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Mixture of hay and haylage,NA,Yes,Yes,NA,Yes,No,No,No,Yes,No,No,No,No,Enjoyment / hobby,4,5,3,4,3,5
